"plantio";"area";"dataplantio";"matgen";"espacamento";"parcela";"areaparc";"datamedicao";"idade";"fila";"cova";"fuste";"cat";"dap";"ht";"decliv_perc";"ffcc"
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;5;41;1;"Ponta Seca";9,58;15,7839030114734;4,2;0,444085663902266
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;5;42;1;"Normal";11,65;17,9157808437143;4,2;0,44065422647049
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;5;43;1;"Normal";11,87;18,0959395337628;4,2;0,440238034201778
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;5;44;1;"Normal";12,13;18,296115856039;4,2;0,439725132440701
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;6;45;1;"Normal";9,61;15,8139294598149;4,2;0,444056986358253
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;6;46;1;"Normal";12,92;18,8265831100707;4,2;0,438026583908455
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;6;47;1;"Normal";11,71;17,9658249242833;4,2;0,44057365373513
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;6;48;1;"Normal";12,22;18,3661775688356;4,2;0,439564665839132
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;6;49;1;"Normal";12,61;18,6364156039084;4,2;0,438718136130524
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;6;50;1;"Normal";12,67;18,6664420522498;4,2;0,438551859773583
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;6;51;1;"Ponta Seca";12,54;18,5863715233394;4,2;0,438894428694297
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;6;52;1;"Normal";12;18,1960276949009;4,2;0,440005735897927
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;7;53;1;"Normal";11,17;17,4753929347068;4,2;0,441505901973168
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;7;54;1;"Normal";9,99;16,2342997365947;4,2;0,443380232848233
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;7;55;1;"Normal";12,45;18,5263186266565;4,2;0,439073173158321
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;7;56;1;"Normal";11,11;17,4153400380239;4,2;0,441542406631527
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;7;57;1;"Torta";12,13;18,296115856039;4,2;0,439725132440701
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;7;58;1;"Normal";12,8;18,7565213972741;4,2;0,438324332477669
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;1;1;1;"Dominante";14,55;19,1082539026987;10,69;0,429831579145232
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;1;2;1;"Normal";12,45;18,5350062856177;10,69;0,436120910945473
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;1;3;1;"Torta";8,63;14,9245519955815;10,69;0,44386779449871
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;1;4;1;"Normal";12,64;18,6556899944769;10,69;0,435708129366126
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;1;5;1;"Torta";12,73;18,7059748731682;10,69;0,435510903366419
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;2;6;0;"falha";NA;NA;10,69;NA
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;2;7;1;"Normal";12,03;18,2433539892081;10,69;0,436936341670458
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;2;8;1;"Normal";12,57;18,6054051157856;10,69;0,435841251950911
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;2;9;1;"Bifurcada";11,75;18,0321574987046;10,69;0,437501427336066
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;2;9;2;"Bifurcada";6,14;13,9691393004466;10,69;0,455902950302271
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;2;10;1;"Torta";11,62;17,931587741322;10,69;0,437743266693103
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;2;11;1;"Dominante";13,69;18,6054051157856;10,69;0,43134174452892
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;2;12;1;"Torta";9,87;16,1716169871261;10,69;0,440706323573714
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;2;13;1;"Normal";11,01;17,3784540757176;10,69;0,438802187928768
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;2;14;1;"Normal";11,65;17,9517016927985;10,69;0,437684093880363
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;3;15;1;"Ponta Seca";11,68;17,971815644275;10,69;0,437614870247491
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;3;16;1;"Normal";12,96;18,8367155577656;10,69;0,435000740197076
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;3;17;1;"Normal";12,73;18,7059748731682;10,69;0,435510903366419
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;3;18;1;"Normal";13,34;19,0277980967926;10,69;0,434129417448047
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;3;19;1;"Normal";11,97;18,2031260862551;10,69;0,437098802151576
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;3;20;1;"Torta";11,27;17,6198214934359;10,69;0,438342567457045
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;3;21;1;"Torta";12,51;18,5752341885708;10,69;0,435989523156008
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;3;22;1;"Torta";13,15;18,9372853151482;10,69;0,434549852967491
