m_parcela;m_plantio;matgen;espacamento;medicao;idade;dapmin;dapmed;dapmax;s2dap;dg;g;htmin;htmed;htmax;s2ht;ddom;hdom;vtcc
283;83;27;5,00 X 3,00;2;3,370294319;9,867606472;12,28145644;14,06929697;1,274416683;12,33150877;7,433708726;12,4;12,68340349;13;0,017419254;13,58546594;12,6;44,43979991
284;83;27;5,00 X 3,00;2;3,370294319;6,207042781;12,13503389;14,32394488;2,87302738;12,24893087;7,266788375;11,9415341;12,75908375;14,2;0,12185145;13,87831104;13,18;43,94702374
285;83;27;5,00 X 3,00;2;3,370294319;10,98169107;12,21991653;14,32394488;0,685864055;12,24701441;7,540252793;12,2;12,77403017;13,4;0,056241086;13,54090256;13,12;45,24999264
286;84;27;5,00 X 3,00;2;3,370294319;2,705634033;12,27854716;15,91549431;4,536687592;12,45604524;8,354302267;1,315689908;11,73915883;13,5;4,373358153;14,48309982;13,2;47,83413704
287;84;27;5,00 X 3,00;2;3,370294319;5,634084985;11,99829327;14,32394488;4,029506704;12,15987772;8,226580299;5,685025503;11,17765172;12,3;2,721345677;13,63002933;12;45,3436877
314;93;27;5,00 X 2,40;2;3,260780287;6,843662553;11,80474949;14,41943784;3,758352206;11,95913785;9,978412378;10,46943745;14,35988228;16,6;1,536989582;13,94833921;15,52;70,12220638
315;93;27;5,00 X 2,40;2;3,260780287;5,411268065;12,28520888;14,64225476;2,975851353;12,40280721;10,02188633;8,556634248;14,47575336;15,21566599;1,20159351;14,18388853;15,14;69,88504158
316;93;27;5,00 X 2,40;2;3,260780287;7,480282325;13,973804;16,71126902;3,256115455;14,08662011;11,33010988;11,17106136;15,41588562;16,5;0,853520679;16,07464925;15,94;82,93356827
317;93;27;5,00 X 2,40;2;3,260780287;5,793239929;13,92529964;17,18873385;5,141048626;14,1043473;13,45306279;9,3;15,35509701;16,8;2,032966504;16,27200138;16,6;99,69796847
350;105;27;5,00 X 2,40;2;3,260780287;6,047887837;11,24776549;14,06929697;1,834899289;11,32696248;8,117781525;11,46157616;12,70511698;14,7;0,786260323;13,18439549;13,88;48,47133421
351;105;27;5,00 X 2,40;2;3,260780287;5,506761031;11,29301367;15,27887454;3,656504823;11,4498681;9,195131685;7,535696258;12,17820091;14,6;1,390381409;14,10112796;13,44;54,05117246
352;105;27;5,00 X 2,40;2;3,260780287;10,02676141;12,00187426;14,86507168;1,970616484;12,0816529;10,02989439;11,80646193;12,43847488;12,86370629;0,217717033;11,64377564;12,43847488;60,34725006
357;107;27;5,00 X 2,40;2;3,247091034;9,45380362;13,29262085;17,50704374;3,11746057;13,4064646;11,8780906;12,8;15,02538213;16,52637097;0,807568097;15,47622667;14,6;85,54990429
